filename	label	start_span	end_span	text	note
casos_clinicos_cardiologia286	MEDICATION	370	378	warfarin	
casos_clinicos_cardiologia286	MEDICATION	835	843	warfarin	
casos_clinicos_cardiologia286	MEDICATION	3997	4005	warfarin	
casos_clinicos_cardiologia286	MEDICATION	751	761	omeprazole	
casos_clinicos_cardiologia286	MEDICATION	775	785	carvedilol	
casos_clinicos_cardiologia286	MEDICATION	810	821	pravastatin	
casos_clinicos_cardiologia286	MEDICATION	890	900	gliclazide	
casos_clinicos_cardiologia286	MEDICATION	3783	3795	fondaparinux	
casos_clinicos_cardiologia286	MEDICATION	3912	3924	fondaparinux	
casos_clinicos_cardiologia286	MEDICATION	4062	4074	fondaparinux	
casos_clinicos_cardiologia286	MEDICATION	3899	3906	heparin	
casos_clinicos_cardiologia286	MEDICATION	5527	5534	Heparin	
casos_clinicos_cardiologia286	MEDICATION	4715	4724	ertapenem	
casos_clinicos_cardiologia286	MEDICATION	4999	5008	ertapenem	
casos_clinicos_cardiologia286	MEDICATION	5323	5332	ertapenem	
casos_clinicos_cardiologia286	MEDICATION	5689	5698	ertapenem	
casos_clinicos_cardiologia286	MEDICATION	5037	5047	fosfomycin	
casos_clinicos_cardiologia183	MEDICATION	210	220	formoterol	
casos_clinicos_cardiologia183	MEDICATION	222	232	budesonide	
casos_clinicos_cardiologia183	MEDICATION	234	253	ipratropium bromide	
casos_clinicos_cardiologia183	MEDICATION	255	265	paroxetine	
casos_clinicos_cardiologia183	MEDICATION	267	278	rizatriptan	
casos_clinicos_cardiologia183	MEDICATION	8208	8217	enalapril	
casos_clinicos_cardiologia183	MEDICATION	8424	8436	levosimendan	
casos_clinicos_cardiologia183	MEDICATION	8661	8674	noradrenaline	
casos_clinicos_cardiologia183	MEDICATION	8855	8868	noradrenaline	
casos_clinicos_cardiologia183	MEDICATION	8781	8790	meropenem	
casos_clinicos_cardiologia457	MEDICATION	6960	6967	statins	
casos_clinicos_cardiologia457	MEDICATION	786	794	atropine	
casos_clinicos_cardiologia457	MEDICATION	947	957	Amiodarone	
casos_clinicos_cardiologia457	MEDICATION	5661	5671	amiodarone	
casos_clinicos_cardiologia457	MEDICATION	1280	1290	adrenaline	
casos_clinicos_cardiologia457	MEDICATION	1999	2009	adrenaline	
casos_clinicos_cardiologia457	MEDICATION	2246	2256	adrenaline	
casos_clinicos_cardiologia457	MEDICATION	1723	1733	ticagrelor	
casos_clinicos_cardiologia457	MEDICATION	1763	1772	abciximab	
casos_clinicos_cardiologia457	MEDICATION	1932	1941	abciximab	
casos_clinicos_cardiologia457	MEDICATION	4401	4411	dobutamine	
casos_clinicos_cardiologia457	MEDICATION	5190	5200	dobutamine	
casos_clinicos_cardiologia457	MEDICATION	4416	4429	noradrenaline	
casos_clinicos_cardiologia457	MEDICATION	5173	5185	levosimendan	
casos_clinicos_cardiologia457	MEDICATION	5880	5892	Atorvastatin	
casos_clinicos_cardiologia457	MEDICATION	5903	5914	simvastatin	
casos_clinicos_cardiologia457	MEDICATION	5922	5934	rosuvastatin	
casos_clinicos_cardiologia457	MEDICATION	6097	6106	ezetimibe	
casos_clinicos_cardiologia457	MEDICATION	6184	6194	evolocumab	
casos_clinicos_cardiologia457	MEDICATION	1705	1708	ASA	
casos_clinicos_cardiologia264	MEDICATION	422	432	irbesartan	
casos_clinicos_cardiologia264	MEDICATION	1346	1356	irbesartan	
casos_clinicos_cardiologia264	MEDICATION	1291	1301	bromazepam	
casos_clinicos_cardiologia264	MEDICATION	1319	1329	omeprazole	
casos_clinicos_cardiologia264	MEDICATION	1374	1384	bisoprolol	
casos_clinicos_cardiologia264	MEDICATION	1400	1410	furosemide	
casos_clinicos_cardiologia264	MEDICATION	1427	1434	digoxin	
casos_clinicos_cardiologia264	MEDICATION	1453	1462	tadalafil	
casos_clinicos_cardiologia264	MEDICATION	1479	1490	paracetamol	
casos_clinicos_cardiologia264	MEDICATION	1977	1989	azithromycin	
casos_clinicos_cardiologia264	MEDICATION	1994	2000	Flutox	
casos_clinicos_cardiologia264	MEDICATION	1514	1521	sintrom	
casos_clinicos_cardiologia264	MEDICATION	5417	5424	sintrom	
casos_clinicos_cardiologia264	MEDICATION	5448	5462	sodium heparin	
casos_clinicos_cardiologia75	MEDICATION	130	140	olmesartan	
casos_clinicos_cardiologia75	MEDICATION	151	161	amlodipine	
